sno.,place,case,recovery,death,lon,lat
0,Andhra Pradesh,7,0,0,79.95790645500007,15.75458548900002
1,Bihar,2,0,1,85.48728000000007,25.151460000000053
2,Chandigarh,6,0,0,76.78943000000005,30.703410000000076
3,Chhattisgarh,1,0,0,82.04162098600005,21.26514922900003
4,Delhi,29,5,1,77.21689000000003,28.634100000000053
5,Gujarat,29,0,1,71.57700007100006,22.695458108000025
6,Haryana,26,11,0,76.34013666700008,29.196462269000047
7,Himachal Pradesh,3,0,1,77.25004871100003,31.923656801000053
8,Jammu and Kashmir,4,0,0,76.31064826000005,34.64385349400004
9,Karnataka,33,2,1,76.17046875100006,14.705918941000053
10,Kerala,67,3,0,76.40890740100008,10.447255029000075
11,Ladakh,13,0,0,77.50000000000007,34.50000000000006
12,Madhya Pradesh,6,0,0,78.29753797900008,23.54296354600007
13,Maharashtra,74,0,2,73.01582000000008,19.03681000000006
14,Odisha,2,0,0,85.00127000000003,20.926660000000027
15,Puducherry,1,0,0,79.82470000000006,11.92993000000007
16,Punjab,21,0,1,75.41747872800005,30.843241599000066
17,Rajasthan,28,3,0,73.84574434400008,26.58650276900005
18,Tamil Nadu,9,1,0,78.40968773700007,11.013245508000068
19,Telengana,32,1,0,79.50000000000007,18.00000000000005
20,Uttar Pradesh,31,9,0,80.56363843900004,26.92872763600008
21,Uttarakhand,3,0,0,79.20756427700006,30.15483757800007
22,West Bengal,7,0,1,87.98640577100008,23.79776012600007
