sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-06-09
2,Andhra Pradesh,4851,2745,75,79.95790576800005,15.754585607000024,2020-06-09
3,Arunachal Pradesh,51,1,0,94.66035909400006,28.033781652000073,2020-06-09
4,Assam,2776,665,4,92.83015209500007,26.32614358500007,2020-06-09
5,Bihar,5202,2499,31,85.48728000000007,25.151460000000046,2020-06-09
6,Chandigarh,317,273,5,76.78943000000005,30.703410000000076,2020-06-09
7,Chhattisgarh,1160,308,4,82.04162083700004,21.265149260000047,2020-06-09
8,Dadar Nagar Haveli,22,2,0,73.04955000000007,20.280950000000075,2020-06-09
9,Delhi,29943,11357,874,77.21689000000003,28.634100000000053,2020-06-09
10,Goa,330,67,0,74.05421646500008,15.362577927000075,2020-06-09
11,Gujarat,20545,13956,1280,71.57702777600008,22.695412103000027,2020-06-09
12,Haryana,4854,2134,39,76.34013631800008,29.19646195900003,2020-06-09
13,Himachal Pradesh,421,227,5,77.25004871100003,31.923656800000057,2020-06-09
14,Jammu and Kashmir,4285,1324,45,76.31064825900006,34.64385349200006,2020-06-09
15,Jharkhand,1256,519,7,85.55996217400008,23.65396590300003,2020-06-09
16,Karnataka,5760,2519,64,76.17046946700003,14.705918599000027,2020-06-09
17,Kerala,2005,814,16,76.40890634100003,10.447255617000053,2020-06-09
18,Ladakh,103,52,1,77.50000000000007,34.50000000000006,2020-06-09
19,Madhya Pradesh,9638,6536,414,78.29754465700006,23.543002144000074,2020-06-09
20,Maharashtra,88528,40975,3169,73.01582000000008,19.03681000000006,2020-06-09
21,Manipur,272,58,0,93.88394228400006,24.731636637000065,2020-06-09
22,Meghalaya,36,13,1,91.27961259500006,25.536524185000076,2020-06-09
23,Mizoram,42,1,0,92.82891654100008,23.307804220000037,2020-06-09
24,Nagaland,123,8,0,94.47204729200008,26.059338800000035,2020-06-09
25,Odisha,2994,1993,9,85.00127000000003,20.926660000000027,2020-06-09
26,Puducherry,127,52,0,79.82470000000006,11.92993000000007,2020-06-09
27,Punjab,2663,2128,53,75.41747895900005,30.843241601000045,2020-06-09
28,Rajasthan,10763,8004,246,73.84574451200007,26.58650209000007,2020-06-09
29,Sikkim,7,0,0,88.47595861700006,27.571226435000032,2020-06-09
30,Tamil Nadu,33229,17527,286,78.40968946000005,11.013249830000065,2020-06-09
31,Telengana,3742,1809,142,79.50000000000007,18.000000000000053,2020-06-09
32,Tripura,838,192,0,91.74011046400005,23.74652194700008,2020-06-09
34,Uttar Pradesh,10947,6344,283,80.56369184900007,26.92876647400004,2020-06-09
33,Uttarakhand,1411,714,13,79.20756428100003,30.15483757800007,2020-06-09
35,West Bengal,8613,3465,405,87.98640557800007,23.79775953100005,2020-06-09
