sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-05-20
2,Andhra Pradesh,2532,1621,52,79.95790576800005,15.754585607000024,2020-05-20
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-20
4,Assam,142,41,4,92.83015209500007,26.32614358500007,2020-05-20
5,Bihar,1498,534,9,85.48728000000007,25.151460000000046,2020-05-20
6,Chandigarh,200,57,3,76.78943000000005,30.703410000000076,2020-05-20
7,Chhattisgarh,101,59,0,82.04162083700004,21.265149260000047,2020-05-20
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075,2020-05-20
9,Delhi,10554,4750,168,77.21689000000003,28.634100000000053,2020-05-20
10,Goa,46,7,0,74.05421646500008,15.362577927000075,2020-05-20
11,Gujarat,12140,5043,719,71.57702777600008,22.695412103000027,2020-05-20
12,Haryana,964,627,14,76.34013631800008,29.19646195900003,2020-05-20
13,Himachal Pradesh,92,47,3,77.25004871100003,31.923656800000057,2020-05-20
14,Jammu and Kashmir,1317,653,17,76.31064825900006,34.64385349200006,2020-05-20
15,Jharkhand,231,127,3,85.55996217400008,23.65396590300003,2020-05-20
16,Karnataka,1397,544,40,76.17046946700003,14.705918599000027,2020-05-20
17,Kerala,642,497,4,76.40890634100003,10.447255617000053,2020-05-20
18,Ladakh,43,43,0,77.50000000000007,34.50000000000006,2020-05-20
19,Madhya Pradesh,5465,2630,258,78.29754465700006,23.543002144000074,2020-05-20
20,Maharashtra,37136,9639,1325,73.01582000000008,19.03681000000006,2020-05-20
21,Manipur,9,2,0,93.88394228400006,24.731636637000065,2020-05-20
22,Meghalaya,13,12,1,91.27961259500006,25.536524185000076,2020-05-20
23,Mizoram,1,1,0,92.82891654100008,23.307804220000037,2020-05-20
24,Odisha,978,277,5,85.00127000000003,20.926660000000027,2020-05-20
25,Puducherry,18,9,1,79.82470000000006,11.92993000000007,2020-05-20
26,Punjab,2002,1642,38,75.41747895900005,30.843241601000045,2020-05-20
27,Rajasthan,5845,3337,143,73.84574451200007,26.58650209000007,2020-05-20
28,Tamil Nadu,12448,4895,84,78.40968946000005,11.013249830000065,2020-05-20
29,Telengana,1634,1010,38,79.50000000000007,18.000000000000053,2020-05-20
30,Tripura,173,116,0,91.74011046400005,23.74652194700008,2020-05-20
32,Uttar Pradesh,4926,2918,123,80.56369184900007,26.92876647400004,2020-05-20
31,Uttarakhand,111,52,1,79.20756428100003,30.15483757800007,2020-05-20
33,West Bengal,2961,1074,250,87.98640557800007,23.79775953100005,2020-05-20
