sno.,place,case,recovery,death,lon,lat,day
2,Andaman and Nicobar Islands,11,0,0,92.78097500000008,12.472918209000056,2020-04-10
1,Andhra Pradesh,348,6,4,79.95790576800005,15.754585607000024,2020-04-10
3,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073,2020-04-10
4,Assam,29,0,0,92.83015209500007,26.32614358500007,2020-04-10
5,Bihar,39,0,1,85.48728000000007,25.151460000000046,2020-04-10
6,Chandigarh,18,7,0,76.78943000000005,30.703410000000076,2020-04-10
7,Chhattisgarh,10,9,0,82.04162083700004,21.265149260000047,2020-04-10
8,Delhi,720,25,12,77.21689000000003,28.634100000000053,2020-04-10
9,Goa,7,0,0,74.05421646500008,15.362577927000075,2020-04-10
10,Gujarat,241,26,17,71.57702777600008,22.695412103000027,2020-04-10
11,Haryana,169,29,3,76.34013631800008,29.19646195900003,2020-04-10
12,Himachal Pradesh,18,2,1,77.25004871100003,31.923656800000057,2020-04-10
13,Jammu and Kashmir,158,4,4,76.31064825900006,34.64385349200006,2020-04-10
14,Jharkhand,13,0,1,85.55996217400008,23.65396590300003,2020-04-10
15,Karnataka,181,28,5,76.17046946700003,14.705918599000027,2020-04-10
16,Kerala,357,96,2,76.40890634100003,10.447255617000053,2020-04-10
17,Ladakh,15,10,0,77.50000000000007,34.50000000000006,2020-04-10
18,Madhya Pradesh,259,0,16,78.29754465700006,23.543002144000074,2020-04-10
19,Maharashtra,1364,125,97,73.01582000000008,19.03681000000006,2020-04-10
20,Manipur,2,1,0,93.88394228400006,24.731636637000065,2020-04-10
21,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-04-10
22,Odisha,44,2,1,85.00127000000003,20.926660000000027,2020-04-10
23,Puducherry,5,1,0,79.82470000000006,11.92993000000007,2020-04-10
24,Punjab,101,4,8,75.41747895900005,30.843241601000045,2020-04-10
25,Rajasthan,463,21,3,73.84574451200007,26.58650209000007,2020-04-10
26,Tamil Nadu,834,21,8,78.40968946000005,11.013249830000065,2020-04-10
27,Telengana,442,35,7,79.50000000000007,18.000000000000053,2020-04-10
28,Tripura,1,0,0,91.74011046400005,23.74652194700008,2020-04-10
30,Uttar Pradesh,410,31,4,80.56369184900007,26.92876647400004,2020-04-10
29,Uttarakhand,35,5,0,79.20756428100003,30.15483757800007,2020-04-10
31,West Bengal,116,16,5,87.98640557800007,23.79775953100005,2020-04-10
