sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-05-29
2,Andhra Pradesh,3251,2125,59,79.95790576800005,15.754585607000024,2020-05-29
3,Arunachal Pradesh,3,1,0,94.66035909400006,28.033781652000073,2020-05-29
4,Assam,856,104,4,92.83015209500007,26.32614358500007,2020-05-29
5,Bihar,3296,1211,15,85.48728000000007,25.151460000000046,2020-05-29
6,Chandigarh,288,189,4,76.78943000000005,30.703410000000076,2020-05-29
7,Chhattisgarh,399,83,0,82.04162083700004,21.265149260000047,2020-05-29
8,Dadar Nagar Haveli,2,0,0,73.04955000000007,20.280950000000075,2020-05-29
9,Delhi,16281,7495,316,77.21689000000003,28.634100000000053,2020-05-29
10,Goa,69,38,0,74.05421646500008,15.362577927000075,2020-05-29
11,Gujarat,15562,8003,960,71.57702777600008,22.695412103000027,2020-05-29
12,Haryana,1504,881,19,76.34013631800008,29.19646195900003,2020-05-29
13,Himachal Pradesh,276,70,5,77.25004871100003,31.923656800000057,2020-05-29
14,Jammu and Kashmir,2036,859,27,76.31064825900006,34.64385349200006,2020-05-29
15,Jharkhand,469,212,4,85.55996217400008,23.65396590300003,2020-05-29
16,Karnataka,2533,834,47,76.17046946700003,14.705918599000027,2020-05-29
17,Kerala,1088,555,7,76.40890634100003,10.447255617000053,2020-05-29
18,Ladakh,73,43,0,77.50000000000007,34.50000000000006,2020-05-29
19,Madhya Pradesh,7453,4050,321,78.29754465700006,23.543002144000074,2020-05-29
20,Maharashtra,59546,18616,1982,73.01582000000008,19.03681000000006,2020-05-29
21,Manipur,55,5,0,93.88394228400006,24.731636637000065,2020-05-29
22,Meghalaya,21,12,1,91.27961259500006,25.536524185000076,2020-05-29
23,Mizoram,1,1,0,92.82891654100008,23.307804220000037,2020-05-29
24,Nagaland,18,0,0,94.47204729200008,26.059338800000035,2020-05-29
25,Odisha,1660,887,7,85.00127000000003,20.926660000000027,2020-05-29
26,Puducherry,51,14,0,79.82470000000006,11.92993000000007,2020-05-29
27,Punjab,2158,1946,40,75.41747895900005,30.843241601000045,2020-05-29
28,Rajasthan,8067,4817,180,73.84574451200007,26.58650209000007,2020-05-29
29,Sikkim,1,0,0,88.47595861700006,27.571226435000032,2020-05-29
30,Tamil Nadu,19372,10548,145,78.40968946000005,11.013249830000065,2020-05-29
31,Telengana,2256,1345,67,79.50000000000007,18.000000000000053,2020-05-29
32,Tripura,242,167,0,91.74011046400005,23.74652194700008,2020-05-29
34,Uttar Pradesh,7170,4215,197,80.56369184900007,26.92876647400004,2020-05-29
33,Uttarakhand,500,79,4,79.20756428100003,30.15483757800007,2020-05-29
35,West Bengal,4536,1668,295,87.98640557800007,23.79775953100005,2020-05-29
