sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,125,72,0,92.78097500000008,12.472918209000056,2020-07-07
2,Andhra Pradesh,18697,8422,232,94.66035907100007,28.03378170600007,2020-07-07
3,Arunachal Pradesh,269,78,1,94.66035907100007,28.03378170600007,2020-07-07
4,Assam,11388,7125,14,92.83014998300007,26.32614343200004,2020-07-07
5,Bihar,11876,8765,95,85.48728000000007,25.151460000000046,2020-07-07
6,Chandigarh,466,395,6,76.78943000000005,30.703410000000076,2020-07-07
7,Chhattisgarh,3207,2601,14,82.04162085900003,21.265149263000072,2020-07-07
8,Dadra and Nagar Haveli and Daman and Diu,271,106,0,73.04955000000007,20.280950000000075,2020-07-07
9,Delhi,99444,71339,3067,77.21689000000003,28.634100000000053,2020-07-07
10,Goa,1761,936,7,74.05421633500005,15.36257825000007,2020-07-07
11,Gujarat,36037,25892,1943,71.57702797000006,22.69541198300004,2020-07-07
12,Haryana,17005,12944,265,76.34013613300004,29.196461252000066,2020-07-07
13,Himachal Pradesh,1063,737,11,77.25004824800006,31.923656279000053,2020-07-07
14,Jammu and Kashmir,8429,5255,132,76.31064825900006,34.64385349200006,2020-07-07
15,Jharkhand,2781,2045,19,85.55996219500008,23.65396590300003,2020-07-07
16,Karnataka,23474,9847,372,76.17046947600005,14.705918575000055,2020-07-07
17,Kerala,5429,3174,25,76.40890634900006,10.447255621000068,2020-07-07
18,Ladakh,1005,826,1,77.50000000000007,34.50000000000006,2020-07-07
19,Madhya Pradesh,14930,11411,608,78.29754488400005,23.54300217400004,2020-07-07
20,Maharashtra,206619,111740,8822,73.01582000000008,19.03681000000006,2020-07-07
21,Manipur,1366,688,0,93.88394228400006,24.731636637000065,2020-07-07
22,Meghalaya,62,43,1,91.27961257200009,25.536524147000023,2020-07-07
23,Mizoram,186,130,0,92.82891654100008,23.307804220000037,2020-07-07
24,Nagaland,590,231,0,94.47204725100003,26.059339096000034,2020-07-07
25,Odisha,9070,6224,36,85.00127000000003,20.926660000000027,2020-07-07
26,Puducherry,802,331,12,79.82470000000006,11.92993000000007,2020-07-07
27,Punjab,6283,4408,164,75.41747860200006,30.843241196000065,2020-07-07
28,Rajasthan,20164,15928,456,73.84574452500004,26.58650208200004,2020-07-07
29,Sikkim,123,61,0,88.47595861700006,27.571226435000032,2020-07-07
30,Tamil Nadu,111151,62778,1510,78.40968946100008,11.013249812000025,2020-07-07
31,Telangana,23902,12703,295,79.01145968100008,17.805271101000077,2020-07-07
32,Tripura,1568,1202,1,91.74011046300006,23.74652194700008,2020-07-07
34,Uttar Pradesh,27707,18761,785,80.56369176000005,26.928766610000025,2020-07-07
33,Uttarakhand,3124,2524,42,79.20756426000008,30.15483759900007,2020-07-07
35,West Bengal,22126,14711,757,87.98640559100004,23.797759550000023,2020-07-07
