sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-05-27
2,Andhra Pradesh,3171,2009,57,79.95790576800005,15.754585607000024,2020-05-27
3,Arunachal Pradesh,2,1,0,94.66035909400006,28.033781652000073,2020-05-27
4,Assam,616,62,4,92.83015209500007,26.32614358500007,2020-05-27
5,Bihar,2983,900,13,85.48728000000007,25.151460000000046,2020-05-27
6,Chandigarh,266,187,4,76.78943000000005,30.703410000000076,2020-05-27
7,Chhattisgarh,361,79,0,82.04162083700004,21.265149260000047,2020-05-27
8,Dadar Nagar Haveli,2,0,0,73.04955000000007,20.280950000000075,2020-05-27
9,Delhi,14465,7223,288,77.21689000000003,28.634100000000053,2020-05-27
10,Goa,67,28,0,74.05421646500008,15.362577927000075,2020-05-27
11,Gujarat,14821,7139,915,71.57702777600008,22.695412103000027,2020-05-27
12,Haryana,1305,824,17,76.34013631800008,29.19646195900003,2020-05-27
13,Himachal Pradesh,247,67,5,77.25004871100003,31.923656800000057,2020-05-27
14,Jammu and Kashmir,1759,833,24,76.31064825900006,34.64385349200006,2020-05-27
15,Jharkhand,426,175,4,85.55996217400008,23.65396590300003,2020-05-27
16,Karnataka,2283,748,44,76.17046946700003,14.705918599000027,2020-05-27
17,Kerala,963,542,6,76.40890634100003,10.447255617000053,2020-05-27
18,Ladakh,53,43,0,77.50000000000007,34.50000000000006,2020-05-27
19,Madhya Pradesh,7024,3689,305,78.29754465700006,23.543002144000074,2020-05-27
20,Maharashtra,54758,16954,1792,73.01582000000008,19.03681000000006,2020-05-27
21,Manipur,39,4,0,93.88394228400006,24.731636637000065,2020-05-27
22,Meghalaya,15,12,1,91.27961259500006,25.536524185000076,2020-05-27
23,Mizoram,1,1,0,92.82891654100008,23.307804220000037,2020-05-27
24,Nagaland,4,0,0,94.47204729200008,26.059338800000035,2020-05-27
25,Odisha,1517,733,7,85.00127000000003,20.926660000000027,2020-05-27
26,Puducherry,46,12,0,79.82470000000006,11.92993000000007,2020-05-27
27,Punjab,2106,1918,40,75.41747895900005,30.843241601000045,2020-05-27
28,Rajasthan,7536,4171,170,73.84574451200007,26.58650209000007,2020-05-27
29,Sikkim,1,0,0,88.47595861700006,27.571226435000032,2020-05-27
30,Tamil Nadu,17728,9342,127,78.40968946000005,11.013249830000065,2020-05-27
31,Telengana,1991,1284,57,79.50000000000007,18.000000000000053,2020-05-27
32,Tripura,207,165,0,91.74011046400005,23.74652194700008,2020-05-27
34,Uttar Pradesh,6548,3698,170,80.56369184900007,26.92876647400004,2020-05-27
33,Uttarakhand,401,64,4,79.20756428100003,30.15483757800007,2020-05-27
35,West Bengal,4009,1486,283,87.98640557800007,23.79775953100005,2020-05-27
