sno.,place,case,recovery,death,lon,lat
0,Andhra Pradesh,3,0,0,79.95790645500007,15.75458548900002
1,Chandigarh,1,0,0,76.80000000000007,30.750000000000053
2,Chhattisgarh,1,0,0,82.04162098600005,21.26514922900003
3,Delhi,17,5,1,77.21689000000003,28.634100000000053
4,Gujarat,5,0,0,71.57700007100006,22.695458108000025
5,Haryana,17,0,0,76.34013666700008,29.196462269000047
6,Jammu and Kashmir,4,0,0,76.66667000000007,33.916670000000074
7,Karnataka,15,1,1,76.17046875100006,14.705918941000053
8,Kerala,28,3,0,76.40890740100008,10.447255029000075
9,Ladakh,10,0,0,92.67517000000004,11.700650000000053
10,Maharashtra,52,0,1,73.01582000000008,19.03681000000006
11,Odisha,2,0,0,85.00127000000003,20.926660000000027
12,Puducherry,1,0,0,79.82470000000006,11.92993000000007
13,Punjab,2,0,1,75.41747872800005,30.843241599000066
14,Rajasthan,17,3,0,73.84574434400008,26.58650276900005
15,Tamil Nadu,3,1,0,78.40968773700007,11.013245508000068
16,Telengana,17,1,0,79.50000000000007,18.00000000000005
17,Uttar Pradesh,23,9,0,80.56363843900004,26.92872763600008
18,Uttarakhand,3,0,0,79.20756427700006,30.15483757800007
19,West Bengal,2,0,0,87.98640577100008,23.79776012600007
