sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-05-23
2,Andhra Pradesh,2709,1763,55,79.95790576800005,15.754585607000024,2020-05-23
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-23
4,Assam,259,54,4,92.83015209500007,26.32614358500007,2020-05-23
5,Bihar,2177,629,11,85.48728000000007,25.151460000000046,2020-05-23
6,Chandigarh,218,178,3,76.78943000000005,30.703410000000076,2020-05-23
7,Chhattisgarh,172,62,0,82.04162083700004,21.265149260000047,2020-05-23
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075,2020-05-23
9,Delhi,12319,5897,208,77.21689000000003,28.634100000000053,2020-05-23
10,Goa,54,16,0,74.05421646500008,15.362577927000075,2020-05-23
11,Gujarat,13268,5880,802,71.57702777600008,22.695412103000027,2020-05-23
12,Haryana,1067,706,16,76.34013631800008,29.19646195900003,2020-05-23
13,Himachal Pradesh,168,59,3,77.25004871100003,31.923656800000057,2020-05-23
14,Jammu and Kashmir,1489,720,20,76.31064825900006,34.64385349200006,2020-05-23
15,Jharkhand,308,136,3,85.55996217400008,23.65396590300003,2020-05-23
16,Karnataka,1743,597,41,76.17046946700003,14.705918599000027,2020-05-23
17,Kerala,732,512,4,76.40890634100003,10.447255617000053,2020-05-23
18,Ladakh,44,43,0,77.50000000000007,34.50000000000006,2020-05-23
19,Madhya Pradesh,6170,3089,272,78.29754465700006,23.543002144000074,2020-05-23
20,Maharashtra,44582,12583,1517,73.01582000000008,19.03681000000006,2020-05-23
21,Manipur,26,2,0,93.88394228400006,24.731636637000065,2020-05-23
22,Meghalaya,14,12,1,91.27961259500006,25.536524185000076,2020-05-23
23,Mizoram,1,1,0,92.82891654100008,23.307804220000037,2020-05-23
24,Odisha,1189,436,7,85.00127000000003,20.926660000000027,2020-05-23
25,Puducherry,26,10,0,79.82470000000006,11.92993000000007,2020-05-23
26,Punjab,2029,1847,39,75.41747895900005,30.843241601000045,2020-05-23
27,Rajasthan,6494,3680,153,73.84574451200007,26.58650209000007,2020-05-23
28,Tamil Nadu,14753,7128,98,78.40968946000005,11.013249830000065,2020-05-23
29,Telengana,1761,1043,45,79.50000000000007,18.000000000000053,2020-05-23
30,Tripura,175,152,0,91.74011046400005,23.74652194700008,2020-05-23
32,Uttar Pradesh,5735,3238,152,80.56369184900007,26.92876647400004,2020-05-23
31,Uttarakhand,153,56,1,79.20756428100003,30.15483757800007,2020-05-23
33,West Bengal,3332,1221,265,87.98640557800007,23.79775953100005,2020-05-23
