sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,90,46,0,92.78097500000008,12.472918209000056,2020-06-30
2,Andhra Pradesh,13891,6232,180,79.95790576800005,15.754585607000024,2020-06-30
3,Arunachal Pradesh,187,61,1,94.66035909400006,28.033781652000073,2020-06-30
4,Assam,7752,5333,11,92.83015209500007,26.32614358500007,2020-06-30
5,Bihar,9640,7390,62,85.48728000000007,25.151460000000046,2020-06-30
6,Chandigarh,435,349,6,76.78943000000005,30.703410000000076,2020-06-30
7,Chhattisgarh,2761,2173,13,82.04162083700004,21.265149260000047,2020-06-30
8,Dadra and Nagar Haveli and Daman and Diu,203,77,0,73.04955000000007,20.280950000000075,2020-06-30
9,Delhi,85161,56235,2680,77.21689000000003,28.634100000000053,2020-06-30
10,Goa,1198,478,3,74.05421646500008,15.362577927000075,2020-06-30
11,Gujarat,31938,23240,1827,71.57702777600008,22.695412103000027,2020-06-30
12,Haryana,14210,9502,232,76.34013631800008,29.19646195900003,2020-06-30
13,Himachal Pradesh,942,556,9,77.25004871100003,31.923656800000057,2020-06-30
14,Jammu and Kashmir,7237,4585,95,76.31064825900006,34.64385349200006,2020-06-30
15,Jharkhand,2426,1845,15,85.55996217400008,23.65396590300003,2020-06-30
16,Karnataka,14295,7683,226,76.17046946700003,14.705918599000027,2020-06-30
17,Kerala,4189,2152,22,76.40890634100003,10.447255617000053,2020-06-30
18,Ladakh,964,616,1,77.50000000000007,34.50000000000006,2020-06-30
19,Madhya Pradesh,13370,10199,564,78.29754465700006,23.543002144000074,2020-06-30
20,Maharashtra,169883,88960,7610,73.01582000000008,19.03681000000006,2020-06-30
21,Manipur,1227,494,0,93.88394228400006,24.731636637000065,2020-06-30
22,Meghalaya,47,42,1,91.27961259500006,25.536524185000076,2020-06-30
23,Mizoram,148,55,0,92.82891654100008,23.307804220000037,2020-06-30
24,Nagaland,434,168,0,94.47204729200008,26.059338800000035,2020-06-30
25,Odisha,6859,4946,23,85.00127000000003,20.926660000000027,2020-06-30
26,Puducherry,619,221,10,79.82470000000006,11.92993000000007,2020-06-30
27,Punjab,5418,3764,138,75.41747895900005,30.843241601000045,2020-06-30
28,Rajasthan,17660,13618,405,73.84574451200007,26.58650209000007,2020-06-30
29,Sikkim,88,50,0,88.47595861700006,27.571226435000032,2020-06-30
30,Tamil Nadu,86224,47749,1141,78.40968946000005,11.013249830000065,2020-06-30
31,Telangana,15394,5582,253,79.01145966800004,17.805271108000053,2020-06-30
32,Tripura,1380,1085,1,91.74011046400005,23.74652194700008,2020-06-30
34,Uttar Pradesh,22828,15506,672,80.56369184900007,26.92876647400004,2020-06-30
33,Uttarakhand,2831,2111,39,79.20756428100003,30.15483757800007,2020-06-30
35,West Bengal,17907,11719,653,87.98640557800007,23.79775953100005,2020-06-30
