sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,32,0,92.78097500000008,12.472918209000056,2020-05-07
2,Andhra Pradesh,1777,729,36,79.95790576800005,15.754585607000024,2020-05-07
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-07
4,Assam,45,32,1,92.83015209500007,26.32614358500007,2020-05-07
5,Bihar,542,188,4,85.48728000000007,25.151460000000046,2020-05-07
6,Chandigarh,120,21,1,76.78943000000005,30.703410000000076,2020-05-07
7,Chhattisgarh,59,36,0,82.04162083700004,21.265149260000047,2020-05-07
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075,2020-05-07
9,Delhi,5532,1542,65,77.21689000000003,28.634100000000053,2020-05-07
10,Goa,7,7,0,74.05421646500008,15.362577927000075,2020-05-07
11,Gujarat,6625,1500,396,71.57702777600008,22.695412103000027,2020-05-07
12,Haryana,594,260,7,76.34013631800008,29.19646195900003,2020-05-07
13,Himachal Pradesh,45,38,2,77.25004871100003,31.923656800000057,2020-05-07
14,Jammu and Kashmir,775,322,8,76.31064825900006,34.64385349200006,2020-05-07
15,Jharkhand,127,37,3,85.55996217400008,23.65396590300003,2020-05-07
16,Karnataka,693,354,29,76.17046946700003,14.705918599000027,2020-05-07
17,Kerala,503,469,4,76.40890634100003,10.447255617000053,2020-05-07
18,Ladakh,41,17,0,77.50000000000007,34.50000000000006,2020-05-07
19,Madhya Pradesh,3138,1099,185,78.29754465700006,23.543002144000074,2020-05-07
20,Maharashtra,16758,3094,651,73.01582000000008,19.03681000000006,2020-05-07
21,Manipur,2,2,0,93.88394228400006,24.731636637000065,2020-05-07
22,Meghalaya,12,10,1,91.27961259500006,25.536524185000076,2020-05-07
23,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-05-07
24,Odisha,185,61,2,85.00127000000003,20.926660000000027,2020-05-07
25,Puducherry,9,6,0,79.82470000000006,11.92993000000007,2020-05-07
26,Punjab,1516,135,27,75.41747895900005,30.843241601000045,2020-05-07
27,Rajasthan,3317,1596,92,73.84574451200007,26.58650209000007,2020-05-07
28,Tamil Nadu,4829,1516,35,78.40968946000005,11.013249830000065,2020-05-07
29,Telengana,1107,628,29,79.50000000000007,18.000000000000053,2020-05-07
30,Tripura,43,2,0,91.74011046400005,23.74652194700008,2020-05-07
32,Uttar Pradesh,2998,1130,60,80.56369184900007,26.92876647400004,2020-05-07
31,Uttarakhand,61,39,1,79.20756428100003,30.15483757800007,2020-05-07
33,West Bengal,1456,364,144,87.98640557800007,23.79775953100005,2020-05-07
