sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,33,0,92.78097500000008,12.472918209000056,2020-05-22
2,Andhra Pradesh,2602,1640,53,79.95790576800005,15.754585607000024,2020-05-22
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-22
4,Assam,170,48,4,92.83015209500007,26.32614358500007,2020-05-22
5,Bihar,1674,571,10,85.48728000000007,25.151460000000046,2020-05-22
6,Chandigarh,202,57,3,76.78943000000005,30.703410000000076,2020-05-22
7,Chhattisgarh,115,59,0,82.04162083700004,21.265149260000047,2020-05-22
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075,2020-05-22
9,Delhi,11088,5192,176,77.21689000000003,28.634100000000053,2020-05-22
10,Goa,50,7,0,74.05421646500008,15.362577927000075,2020-05-22
11,Gujarat,12537,5219,749,71.57702777600008,22.695412103000027,2020-05-22
12,Haryana,993,648,14,76.34013631800008,29.19646195900003,2020-05-22
13,Himachal Pradesh,110,54,3,77.25004871100003,31.923656800000057,2020-05-22
14,Jammu and Kashmir,1390,678,18,76.31064825900006,34.64385349200006,2020-05-22
15,Jharkhand,231,127,3,85.55996217400008,23.65396590300003,2020-05-22
16,Karnataka,1462,556,41,76.17046946700003,14.705918599000027,2020-05-22
17,Kerala,666,502,4,76.40890634100003,10.447255617000053,2020-05-22
18,Ladakh,44,43,0,77.50000000000007,34.50000000000006,2020-05-22
19,Madhya Pradesh,5735,2733,267,78.29754465700006,23.543002144000074,2020-05-22
20,Maharashtra,39297,10318,1390,73.01582000000008,19.03681000000006,2020-05-22
21,Manipur,25,2,0,93.88394228400006,24.731636637000065,2020-05-22
22,Meghalaya,14,12,1,91.27961259500006,25.536524185000076,2020-05-22
23,Mizoram,1,1,0,92.82891654100008,23.307804220000037,2020-05-22
24,Odisha,1052,307,6,85.00127000000003,20.926660000000027,2020-05-22
25,Puducherry,18,9,0,79.82470000000006,11.92993000000007,2020-05-22
26,Punjab,2005,1794,38,75.41747895900005,30.843241601000045,2020-05-22
27,Rajasthan,6015,3404,147,73.84574451200007,26.58650209000007,2020-05-22
28,Tamil Nadu,13191,5882,87,78.40968946000005,11.013249830000065,2020-05-22
29,Telengana,1661,1015,40,79.50000000000007,18.000000000000053,2020-05-22
30,Tripura,173,133,0,91.74011046400005,23.74652194700008,2020-05-22
32,Uttar Pradesh,5175,3066,127,80.56369184900007,26.92876647400004,2020-05-22
31,Uttarakhand,122,53,1,79.20756428100003,30.15483757800007,2020-05-22
33,West Bengal,3103,1136,253,87.98640557800007,23.79775953100005,2020-05-22
