sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,176,130,0,92.78097500000008,12.472918209000056,2020-07-17
2,Andhra Pradesh,35451,18378,452,94.66035907100007,28.03378170600007,2020-07-17
3,Arunachal Pradesh,462,153,3,94.66035907100007,28.03378170600007,2020-07-17
4,Assam,18666,12173,46,92.83014998300007,26.32614343200004,2020-07-17
5,Bihar,20612,13462,180,85.48728000000007,25.151460000000046,2020-07-17
6,Chandigarh,625,459,11,76.78943000000005,30.703410000000076,2020-07-17
7,Chhattisgarh,4539,3324,20,82.04162085900003,21.265149263000072,2020-07-17
8,Dadra and Nagar Haveli and Daman and Diu,539,357,2,73.04955000000007,20.280950000000075,2020-07-17
9,Delhi,116993,95699,3487,77.21689000000003,28.634100000000053,2020-07-17
10,Goa,2951,1674,18,74.05421633500005,15.36257825000007,2020-07-17
11,Gujarat,44552,31286,2079,71.57702797000006,22.69541198300004,2020-07-17
12,Haryana,23306,17667,319,76.34013613300004,29.196461252000066,2020-07-17
13,Himachal Pradesh,1341,979,11,77.25004824800006,31.923656279000053,2020-07-17
14,Jammu and Kashmir,11666,6337,206,76.31064825900006,34.64385349200006,2020-07-17
15,Jharkhand,4320,2485,38,85.55996219500008,23.65396590300003,2020-07-17
16,Karnataka,47253,18466,928,76.17046947600005,14.705918575000055,2020-07-17
17,Kerala,9553,4634,35,76.40890634900006,10.447255621000068,2020-07-17
18,Ladakh,1142,964,1,77.50000000000007,34.50000000000006,2020-07-17
19,Madhya Pradesh,19643,13908,682,78.29754488400005,23.54300217400004,2020-07-17
20,Maharashtra,275640,152613,10928,73.01582000000008,19.03681000000006,2020-07-17
21,Manipur,1700,989,0,93.88394228400006,24.731636637000065,2020-07-17
22,Meghalaya,346,66,2,91.27961257200009,25.536524147000023,2020-07-17
23,Mizoram,238,159,0,92.82891654100008,23.307804220000037,2020-07-17
24,Nagaland,902,348,0,94.47204725100003,26.059339096000034,2020-07-17
25,Odisha,14898,10476,77,85.00127000000003,20.926660000000027,2020-07-17
26,Puducherry,1596,889,21,79.82470000000006,11.92993000000007,2020-07-17
27,Punjab,8799,5867,221,75.41747860200006,30.843241196000065,2020-07-17
28,Rajasthan,26437,19502,530,73.84574452500004,26.58650208200004,2020-07-17
29,Sikkim,220,87,0,88.47595861700006,27.571226435000032,2020-07-17
30,Tamil Nadu,151820,102310,2167,78.40968946100008,11.013249812000025,2020-07-17
31,Telangana,39342,25999,386,79.01145968100008,17.805271101000077,2020-07-17
32,Tripura,2268,1604,3,91.74011046300006,23.74652194700008,2020-07-17
34,Uttar Pradesh,41383,25743,1012,80.56369176000005,26.928766610000025,2020-07-17
33,Uttarakhand,3785,2948,50,79.20756426000008,30.15483759900007,2020-07-17
35,West Bengal,34427,20680,1000,87.98640559100004,23.797759550000023,2020-07-17
