S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,33,33,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,4303,2576,73,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,45,1,0,94.66035909400006,28.033781652000073
4,Assam,2153,498,4,92.83015209500007,26.326143585000068
5,Bihar,4596,2225,29,85.48728000000006,25.151460000000043
6,Chandigarh,304,222,5,76.78943000000004,30.703410000000076
7,Chhattisgarh,879,244,2,82.04162083700004,21.265149260000044
8,Dadar Nagar Haveli,14,1,0,73.04955000000007,20.280950000000075
9,Delhi,26334,10315,708,77.21689000000003,28.634100000000046
10,Goa,196,65,0,74.05421646500008,15.362577927000075
11,Gujarat,19094,13003,1190,71.57702777600008,22.695412103000024
12,Haryana,3597,2134,24,76.34013631800008,29.196461959000032
13,Himachal Pradesh,393,189,5,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,3324,1086,36,76.31064825900006,34.64385349200006
15,Jharkhand,881,410,7,85.55996217400008,23.653965903000028
16,Karnataka,4835,1688,57,76.17046946700003,14.705918599000029
17,Kerala,1699,712,14,76.40890634100003,10.447255617000053
18,Ladakh,97,48,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,8996,5878,384,78.29754465700006,23.54300214400007
20,Maharashtra,80229,35156,2849,73.01582000000008,19.03681000000006
21,Manipur,132,41,0,93.88394228400006,24.731636637000065
22,Meghalaya,33,13,1,91.27961259500006,25.536524185000076
23,Mizoram,22,1,0,92.82891654100007,23.307804220000037
24,Nagaland,94,0,0,94.47204729200007,26.059338800000035
25,Odisha,2608,1604,8,85.00127000000003,20.926660000000027
26,Puducherry,99,36,0,79.82470000000006,11.92993000000007
27,Punjab,2461,2069,48,75.41747895900005,30.843241601000045
28,Rajasthan,10084,7359,218,73.84574451200007,26.586502090000067
29,Sikkim,3,0,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,28694,15762,232,78.40968946000004,11.013249830000063
31,Telengana,3290,1627,113,79.50000000000006,18.000000000000057
32,Tripura,692,173,0,91.74011046400005,23.746521947000076
33,Uttarakhand,1215,344,11,79.20756428100003,30.15483757800007
34,Uttar Pradesh,9733,5648,257,80.56369184900007,26.928766474000042
35,West Bengal,7303,2912,366,87.98640557800007,23.797759531000054
