S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,50,40,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,10002,4599,119,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,148,22,0,94.66035909400006,28.033781652000073
4,Assam,5831,3762,9,92.83015209500007,26.326143585000068
5,Bihar,8153,6104,56,85.48728000000006,25.151460000000043
6,Chandigarh,418,322,6,76.78943000000004,30.703410000000076
7,Chhattisgarh,2362,1553,12,82.04162083700004,21.265149260000044
8,Dadra and Nagar Haveli and Daman and Diu,120,29,0,73.04955000000007,20.280950000000075
9,Delhi,66602,39313,2301,77.21689000000003,28.634100000000046
10,Goa,909,205,1,74.05421646500008,15.362577927000075
11,Gujarat,28371,20513,1710,71.57702777600008,22.695412103000024
12,Haryana,11520,6498,178,76.34013631800008,29.196461959000032
13,Himachal Pradesh,775,443,8,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,6236,3642,87,76.31064825900006,34.64385349200006
15,Jharkhand,2185,1520,11,85.55996217400008,23.653965903000028
16,Karnataka,9721,6004,150,76.17046946700003,14.705918599000029
17,Kerala,3451,1809,22,76.40890634100003,10.447255617000053
18,Ladakh,932,148,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,12261,9335,525,78.29754465700006,23.54300214400007
20,Maharashtra,139010,69631,6531,73.01582000000008,19.03681000000006
21,Manipur,921,258,0,93.88394228400006,24.731636637000065
22,Meghalaya,46,37,1,91.27961259500006,25.536524185000076
23,Mizoram,142,9,0,92.82891654100007,23.307804220000037
24,Nagaland,330,141,0,94.47204729200007,26.059338800000035
25,Odisha,5470,3988,17,85.00127000000003,20.926660000000027
26,Puducherry,402,165,9,79.82470000000006,11.92993000000007
27,Punjab,4397,3047,105,75.41747895900005,30.843241601000045
28,Rajasthan,15627,12213,365,73.84574451200007,26.586502090000067
29,Sikkim,79,29,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,64603,35339,833,78.40968946000004,11.013249830000063
31,Telangana,9553,4224,220,79.01145966800004,17.805271108000056
32,Tripura,1259,807,1,91.74011046400005,23.746521947000076
33,Uttarakhand,2535,1602,30,79.20756428100003,30.15483757800007
34,Uttar Pradesh,18893,12116,588,80.56369184900007,26.928766474000042
35,West Bengal,14728,9218,580,87.98640557800007,23.797759531000054
