S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,203,145,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,49650,22890,642,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,740,282,3,94.66035907100007,28.03378170600007
4,Assam,23999,16023,57,92.83014998300007,26.326143432000038
5,Bihar,26569,16308,217,85.48728000000006,25.151460000000043
6,Chandigarh,717,488,12,76.78943000000004,30.703410000000076
7,Chhattisgarh,5407,3775,24,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,605,414,2,73.04955000000007,20.280950000000075
9,Delhi,122793,103134,3628,77.21689000000003,28.634100000000046
10,Goa,3657,2218,22,74.05421633500004,15.36257825000007
11,Gujarat,48355,34901,2142,71.57702797000007,22.695411983000042
12,Haryana,26164,19793,349,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1483,1059,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,13899,7811,244,76.31064825900006,34.64385349200006
15,Jharkhand,5535,2716,49,85.55996219500008,23.653965903000028
16,Karnataka,63772,23065,1331,76.17046947600005,14.705918575000055
17,Kerala,12480,5371,42,76.40890634900006,10.447255621000068
18,Ladakh,1178,1003,2,77.50000000000006,34.50000000000006
19,Madhya Pradesh,22600,15311,721,78.29754488400005,23.543002174000037
20,Maharashtra,310455,169569,11854,73.01582000000008,19.03681000000006
21,Manipur,1911,1213,0,93.88394228400006,24.731636637000065
22,Meghalaya,450,66,2,91.27961257200008,25.536524147000023
23,Mizoram,284,167,0,92.82891654100007,23.307804220000037
24,Nagaland,988,445,0,94.47204725100005,26.05933909600003
25,Odisha,17437,12453,91,85.00127000000003,20.926660000000027
26,Puducherry,1999,1154,28,79.82470000000006,11.92993000000007
27,Punjab,10100,6535,254,75.41747860200007,30.843241196000065
28,Rajasthan,29434,21730,559,73.84574452500004,26.586502082000038
29,Sikkim,283,92,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,170693,117915,2481,78.40968946100008,11.013249812000026
31,Telangana,45076,32438,415,79.01145968100008,17.805271101000073
32,Tripura,2878,1759,5,91.74011046300006,23.746521947000076
33,Uttarakhand,4515,3116,52,79.20756426000008,30.154837599000075
34,Uttar Pradesh,49247,29845,1146,80.56369176000004,26.928766610000025
35,West Bengal,42487,24883,1112,87.98640559100005,23.797759550000023
