S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,176,130,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,35451,18378,452,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,462,153,3,94.66035907100007,28.03378170600007
4,Assam,18666,12173,46,92.83014998300007,26.326143432000038
5,Bihar,20612,13462,180,85.48728000000006,25.151460000000043
6,Chandigarh,625,459,11,76.78943000000004,30.703410000000076
7,Chhattisgarh,4539,3324,20,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,539,357,2,73.04955000000007,20.280950000000075
9,Delhi,116993,95699,3487,77.21689000000003,28.634100000000046
10,Goa,2951,1674,18,74.05421633500004,15.36257825000007
11,Gujarat,44552,31286,2079,71.57702797000007,22.695411983000042
12,Haryana,23306,17667,319,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1341,979,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,11666,6337,206,76.31064825900006,34.64385349200006
15,Jharkhand,4320,2485,38,85.55996219500008,23.653965903000028
16,Karnataka,47253,18466,928,76.17046947600005,14.705918575000055
17,Kerala,9553,4634,35,76.40890634900006,10.447255621000068
18,Ladakh,1142,964,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,19643,13908,682,78.29754488400005,23.543002174000037
20,Maharashtra,275640,152613,10928,73.01582000000008,19.03681000000006
21,Manipur,1700,989,0,93.88394228400006,24.731636637000065
22,Meghalaya,346,66,2,91.27961257200008,25.536524147000023
23,Mizoram,238,159,0,92.82891654100007,23.307804220000037
24,Nagaland,902,348,0,94.47204725100005,26.05933909600003
25,Odisha,14898,10476,77,85.00127000000003,20.926660000000027
26,Puducherry,1596,889,21,79.82470000000006,11.92993000000007
27,Punjab,8799,5867,221,75.41747860200007,30.843241196000065
28,Rajasthan,26437,19502,530,73.84574452500004,26.586502082000038
29,Sikkim,220,87,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,151820,102310,2167,78.40968946100008,11.013249812000026
31,Telangana,39342,25999,386,79.01145968100008,17.805271101000073
32,Tripura,2268,1604,3,91.74011046300006,23.746521947000076
33,Uttarakhand,3785,2948,50,79.20756426000008,30.154837599000075
34,Uttar Pradesh,41383,25743,1012,80.56369176000004,26.928766610000025
35,West Bengal,34427,20680,1000,87.98640559100005,23.797759550000023
