S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,33,33,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,4851,2745,75,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,51,1,0,94.66035909400006,28.033781652000073
4,Assam,2776,665,4,92.83015209500007,26.326143585000068
5,Bihar,5202,2499,31,85.48728000000006,25.151460000000043
6,Chandigarh,317,273,5,76.78943000000004,30.703410000000076
7,Chhattisgarh,1160,308,4,82.04162083700004,21.265149260000044
8,Dadar Nagar Haveli,22,2,0,73.04955000000007,20.280950000000075
9,Delhi,29943,11357,874,77.21689000000003,28.634100000000046
10,Goa,330,67,0,74.05421646500008,15.362577927000075
11,Gujarat,20545,13956,1280,71.57702777600008,22.695412103000024
12,Haryana,4854,2134,39,76.34013631800008,29.196461959000032
13,Himachal Pradesh,421,227,5,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,4285,1324,45,76.31064825900006,34.64385349200006
15,Jharkhand,1256,519,7,85.55996217400008,23.653965903000028
16,Karnataka,5760,2519,64,76.17046946700003,14.705918599000029
17,Kerala,2005,814,16,76.40890634100003,10.447255617000053
18,Ladakh,103,52,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,9638,6536,414,78.29754465700006,23.54300214400007
20,Maharashtra,88528,40975,3169,73.01582000000008,19.03681000000006
21,Manipur,272,58,0,93.88394228400006,24.731636637000065
22,Meghalaya,36,13,1,91.27961259500006,25.536524185000076
23,Mizoram,42,1,0,92.82891654100007,23.307804220000037
24,Nagaland,123,8,0,94.47204729200007,26.059338800000035
25,Odisha,2994,1993,9,85.00127000000003,20.926660000000027
26,Puducherry,127,52,0,79.82470000000006,11.92993000000007
27,Punjab,2663,2128,53,75.41747895900005,30.843241601000045
28,Rajasthan,10763,8004,246,73.84574451200007,26.586502090000067
29,Sikkim,7,0,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,33229,17527,286,78.40968946000004,11.013249830000063
31,Telengana,3650,1710,137,79.50000000000006,18.000000000000057
32,Tripura,838,192,0,91.74011046400005,23.746521947000076
33,Uttarakhand,1411,714,13,79.20756428100003,30.15483757800007
34,Uttar Pradesh,10947,6344,283,80.56369184900007,26.928766474000042
35,West Bengal,8613,3465,405,87.98640557800007,23.797759531000054
