S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,44,33,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,6841,3509,88,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,95,7,0,94.66035909400006,28.033781652000073
4,Assam,4319,2166,8,92.83015209500007,26.326143585000068
5,Bihar,6778,4644,41,85.48728000000006,25.151460000000043
6,Chandigarh,358,302,6,76.78943000000004,30.703410000000076
7,Chhattisgarh,1781,1036,9,82.04162083700004,21.265149260000044
8,Dadra and Nagar Haveli and Daman and Diu,45,9,0,73.04955000000007,20.280950000000075
9,Delhi,44688,16500,1837,77.21689000000003,28.634100000000046
10,Goa,629,85,0,74.05421646500008,15.362577927000075
11,Gujarat,24577,17082,1533,71.57702777600008,22.695412103000024
12,Haryana,8272,3748,118,76.34013631800008,29.196461959000032
13,Himachal Pradesh,560,372,8,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,5298,2781,63,76.31064825900006,34.64385349200006
15,Jharkhand,1839,1121,9,85.55996217400008,23.653965903000028
16,Karnataka,7530,4456,94,76.17046946700003,14.705918599000029
17,Kerala,2622,1236,20,76.40890634100003,10.447255617000053
18,Ladakh,649,85,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,11083,8152,476,78.29754465700006,23.54300214400007
20,Maharashtra,113445,57851,5537,73.01582000000008,19.03681000000006
21,Manipur,500,159,0,93.88394228400006,24.731636637000065
22,Meghalaya,44,25,1,91.27961259500006,25.536524185000076
23,Mizoram,121,1,0,92.82891654100007,23.307804220000037
24,Nagaland,179,92,0,94.47204729200007,26.059338800000035
25,Odisha,4163,2974,11,85.00127000000003,20.926660000000027
26,Puducherry,216,99,6,79.82470000000006,11.92993000000007
27,Punjab,3371,2461,72,75.41747895900005,30.843241601000045
28,Rajasthan,13216,9849,308,73.84574451200007,26.586502090000067
29,Sikkim,70,4,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,48019,26782,528,78.40968946000004,11.013249830000063
31,Telangana,5406,3027,191,79.01145966800004,17.805271108000056
32,Tripura,1092,433,1,91.74011046400005,23.746521947000076
33,Uttarakhand,1942,1216,25,79.20756428100003,30.15483757800007
34,Uttar Pradesh,14091,8610,417,80.56369184900007,26.928766474000042
35,West Bengal,11909,6028,495,87.98640557800007,23.797759531000054
