S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,290,176,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,88671,43255,985,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,1126,428,3,94.66035907100007,28.03378170600007
4,Assam,31086,23055,77,92.83014998300007,26.326143432000038
5,Bihar,36604,24053,234,85.48728000000006,25.151460000000043
6,Chandigarh,852,555,13,76.78943000000004,30.703410000000076
7,Chhattisgarh,7087,4683,39,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,860,530,2,73.04955000000007,20.280950000000075
9,Delhi,129531,113068,3806,77.21689000000003,28.634100000000046
10,Goa,4686,3047,33,74.05421633500004,15.36257825000007
11,Gujarat,54626,39631,2300,71.57702797000007,22.695411983000042
12,Haryana,30538,23654,389,76.34013613300004,29.196461252000063
13,Himachal Pradesh,2049,1173,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,17305,9517,305,76.31064825900006,34.64385349200006
15,Jharkhand,7836,3425,82,85.55996219500008,23.653965903000028
16,Karnataka,90942,33750,1796,76.17046947600005,14.705918575000055
17,Kerala,18098,8611,59,76.40890634900006,10.447255621000068
18,Ladakh,1276,1057,3,77.50000000000006,34.50000000000006
19,Madhya Pradesh,26926,18488,799,78.29754488400005,23.543002174000037
20,Maharashtra,366368,207194,13389,73.01582000000008,19.03681000000006
21,Manipur,2176,1524,0,93.88394228400006,24.731636637000065
22,Meghalaya,646,94,5,91.27961257200008,25.536524147000023
23,Mizoram,361,183,0,92.82891654100007,23.307804220000037
24,Nagaland,1289,541,4,94.47204725100005,26.05933909600003
25,Odisha,24013,15929,130,85.00127000000003,20.926660000000027
26,Puducherry,2654,1561,38,79.82470000000006,11.92993000000007
27,Punjab,12684,8297,291,75.41747860200007,30.843241196000065
28,Rajasthan,35298,25306,613,73.84574452500004,26.586502082000038
29,Sikkim,499,142,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,206737,151055,3409,78.40968946100008,11.013249812000026
31,Telangana,52466,40334,455,79.01145968100008,17.805271101000073
32,Tripura,3862,2209,11,91.74011046300006,23.746521947000076
33,Uttarakhand,5961,3495,63,79.20756426000008,30.154837599000075
34,Uttar Pradesh,63742,39903,1387,80.56369176000004,26.928766610000025
35,West Bengal,56377,35654,1332,87.98640559100005,23.797759550000023
