S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,163,93,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,27235,14393,309,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,341,125,2,94.66035907100007,28.03378170600007
4,Assam,15536,9150,35,92.83014998300007,26.326143432000038
5,Bihar,15373,10685,131,85.48728000000006,25.151460000000043
6,Chandigarh,555,413,7,76.78943000000004,30.703410000000076
7,Chhattisgarh,3897,3070,17,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,471,226,0,73.04955000000007,20.280950000000075
9,Delhi,110921,87692,3334,77.21689000000003,28.634100000000046
10,Goa,2368,1428,12,74.05421633500004,15.36257825000007
11,Gujarat,40941,28649,2032,71.57702797000007,22.695411983000042
12,Haryana,20582,15394,297,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1182,908,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,10156,5895,169,76.31064825900006,34.64385349200006
15,Jharkhand,3613,2243,23,85.55996219500008,23.653965903000028
16,Karnataka,36216,14716,613,76.17046947600005,14.705918575000055
17,Kerala,7438,3963,29,76.40890634900006,10.447255621000068
18,Ladakh,1077,928,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,17201,12679,644,78.29754488400005,23.543002174000037
20,Maharashtra,246600,136985,10116,73.01582000000008,19.03681000000006
21,Manipur,1593,843,0,93.88394228400006,24.731636637000065
22,Meghalaya,207,66,2,91.27961257200008,25.536524147000023
23,Mizoram,227,150,0,92.82891654100007,23.307804220000037
24,Nagaland,748,313,0,94.47204725100005,26.05933909600003
25,Odisha,12526,8360,61,85.00127000000003,20.926660000000027
26,Puducherry,1337,690,18,79.82470000000006,11.92993000000007
27,Punjab,7587,5040,195,75.41747860200007,30.843241196000065
28,Rajasthan,23748,17869,503,73.84574452500004,26.586502082000038
29,Sikkim,151,80,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,134226,85915,1898,78.40968946100008,11.013249812000026
31,Telangana,33402,20919,348,79.01145968100008,17.805271101000073
32,Tripura,1949,1375,2,91.74011046300006,23.746521947000076
33,Uttarakhand,3417,2718,46,79.20756426000008,30.154837599000075
34,Uttar Pradesh,35092,22689,913,80.56369176000004,26.928766610000025
35,West Bengal,28453,17959,906,87.98640559100005,23.797759550000023
