S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,207,152,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,53724,24228,696,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,790,285,3,94.66035907100007,28.03378170600007
4,Assam,25382,17095,58,92.83014998300007,26.326143432000038
5,Bihar,27646,17433,217,85.48728000000006,25.151460000000043
6,Chandigarh,737,518,12,76.78943000000004,30.703410000000076
7,Chhattisgarh,5561,3944,25,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,684,448,2,73.04955000000007,20.280950000000075
9,Delhi,123747,104918,3663,77.21689000000003,28.634100000000046
10,Goa,3853,2361,23,74.05421633500004,15.36257825000007
11,Gujarat,49353,35678,2162,71.57702797000007,22.695411983000042
12,Haryana,26858,20226,355,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1631,1067,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,14650,8274,254,76.31064825900006,34.64385349200006
15,Jharkhand,5756,2810,53,85.55996219500008,23.653965903000028
16,Karnataka,67420,23795,1403,76.17046947600005,14.705918575000055
17,Kerala,13274,5616,43,76.40890634900006,10.447255621000068
18,Ladakh,1195,1007,2,77.50000000000006,34.50000000000006
19,Madhya Pradesh,23310,15684,738,78.29754488400005,23.543002174000037
20,Maharashtra,318695,175029,12030,73.01582000000008,19.03681000000006
21,Manipur,1925,1307,0,93.88394228400006,24.731636637000065
22,Meghalaya,466,66,4,91.27961257200008,25.536524147000023
23,Mizoram,297,168,0,92.82891654100007,23.307804220000037
24,Nagaland,1021,484,0,94.47204725100005,26.05933909600003
25,Odisha,18110,12910,97,85.00127000000003,20.926660000000027
26,Puducherry,2092,1265,29,79.82470000000006,11.92993000000007
27,Punjab,10510,7118,262,75.41747860200007,30.843241196000065
28,Rajasthan,30390,22195,568,73.84574452500004,26.586502082000038
29,Sikkim,305,92,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,175678,121776,2551,78.40968946100008,11.013249812000026
31,Telangana,46274,34323,422,79.01145968100008,17.805271101000073
32,Tripura,3079,1845,7,91.74011046300006,23.746521947000076
33,Uttarakhand,4642,3212,55,79.20756426000008,30.154837599000075
34,Uttar Pradesh,51160,30831,1192,80.56369176000004,26.928766610000025
35,West Bengal,44769,26418,1147,87.98640559100005,23.797759550000023
